title,payment_amount,title,customer_name,rental_date,return_date,replacement_cost,first_name,staff_name,city,country,store_id,col,USA
DETAILS PACKER,4.99,DETAILS PACKER,GLENN PULLEN,2005-05-28 21:38:39.000,2005-05-29 21:37:39.000,17.99,Mike,MikeHillyer,Amersfoort,Netherlands,1,Above Avg,Other
PHILADELPHIA WIFE,5.99,PHILADELPHIA WIFE,RANDALL NEUMANN,2005-05-28 21:48:51.000,2005-06-05 16:45:51.000,16.99,Jon,JonStephens,La Romana,Dominican Republic,2,Above Avg,Other
CONFIDENTIAL INTERVIEW,4.99,CONFIDENTIAL INTERVIEW,ENRIQUE FORSYTHE,2005-05-28 21:49:02.000,2005-05-31 03:07:02.000,13.99,Mike,MikeHillyer,Patras,Greece,1,Above Avg,Other
SEA VIRGIN,2.99,SEA VIRGIN,ROBERTO VU,2005-05-28 21:54:45.000,2005-05-29 22:32:45.000,24.99,Mike,MikeHillyer,Yinchuan,China,1,Below Avg,Other
SLEEPING SUSPECTS,4.99,SLEEPING SUSPECTS,DONALD MAHON,2005-05-28 22:03:25.000,2005-06-03 03:39:25.000,13.99,Mike,MikeHillyer,Ezhou,China,1,Above Avg,Other
BALLOON HOMEWARD,6.99,BALLOON HOMEWARD,VICKI FIELDS,2005-05-28 22:04:03.000,2005-06-06 22:43:03.000,10.99,Jon,JonStephens,Witten,Germany,2,Above Avg,Other
DIARY PANIC,2.99,DIARY PANIC,BETTY WHITE,2005-05-28 22:04:30.000,2005-06-03 01:21:30.000,20.99,Jon,JonStephens,Citrus Heights,United States,2,Below Avg,USA
CIRCUS YOUTH,6.99,CIRCUS YOUTH,CHARLES KOWALSKI,2005-05-28 22:05:29.000,2005-06-06 02:10:29.000,13.99,Jon,JonStephens,Sungai Petani,Malaysia,2,Above Avg,Other
GROOVE FICTION,0.99,GROOVE FICTION,TIM CARY,2005-05-28 22:07:30.000,2005-06-01 23:42:30.000,13.99,Mike,MikeHillyer,Bijapur,India,1,Below Avg,Other
DRIVER ANNIE,2.99,DRIVER ANNIE,WANDA PATTERSON,2005-05-28 22:11:35.000,2005-06-01 23:58:35.000,11.99,Jon,JonStephens,Sincelejo,Colombia,2,Below Avg,Other
ENCOUNTERS CURTAIN,0.99,ENCOUNTERS CURTAIN,DENNIS GILMAN,2005-05-28 22:22:44.000,2005-06-01 02:57:44.000,20.99,Jon,JonStephens,Paarl,South Africa,2,Below Avg,Other
LADY STAGE,4.99,LADY STAGE,SAM MCDUFFIE,2005-05-28 22:27:51.000,2005-05-29 20:36:51.000,14.99,Jon,JonStephens,Sogamoso,Colombia,2,Above Avg,Other
YENTL IDAHO,7.99,YENTL IDAHO,KRISTEN CHAVEZ,2005-05-28 23:00:08.000,2005-06-05 19:11:08.000,11.99,Jon,JonStephens,Hino,Japan,2,Above Avg,Other
SOMETHING DUCK,6.99,SOMETHING DUCK,CASSANDRA WALTERS,2005-05-28 23:15:48.000,2005-06-03 04:43:48.000,17.99,Jon,JonStephens,Salinas,United States,2,Above Avg,USA
CYCLONE FAMILY,4.99,CYCLONE FAMILY,KARL SEAL,2005-05-28 23:24:57.000,2005-06-06 21:59:57.000,18.99,Jon,JonStephens,Cape Coral,United States,2,Above Avg,USA
TRACY CIDER,2.99,TRACY CIDER,MAURICE CRAWLEY,2005-05-28 23:27:26.000,2005-06-02 02:28:26.000,29.99,Jon,JonStephens,Coatzacoalcos,Mexico,2,Below Avg,Other
ROBBERS JOON,2.99,ROBBERS JOON,JAMIE WAUGH,2005-05-28 23:39:44.000,2005-06-01 01:42:44.000,26.99,Mike,MikeHillyer,Kuwana,Japan,1,Below Avg,Other
PREJUDICE OLEANDER,4.99,PREJUDICE OLEANDER,ELEANOR HUNT,2005-05-28 23:53:18.000,2005-05-29 19:14:18.000,15.99,Jon,JonStephens,Saint-Denis,Runion,2,Above Avg,Other
HURRICANE AFFAIR,2.99,HURRICANE AFFAIR,SUE PETERS,2005-05-29 00:09:48.000,2005-06-02 04:27:48.000,11.99,Mike,MikeHillyer,Changzhou,China,1,Below Avg,Other
RAGING AIRPLANE,6.99,RAGING AIRPLANE,DEREK BLAKELY,2005-05-29 00:13:15.000,2005-06-04 21:26:15.000,18.99,Jon,JonStephens,Gingoog,Philippines,2,Above Avg,Other
FARGO GANDHI,6.99,FARGO GANDHI,BERNICE WILLIS,2005-05-29 00:17:51.000,2005-06-05 05:32:51.000,28.99,Jon,JonStephens,Batman,Turkey,2,Above Avg,Other
LOSER HUSTLER,4.99,LOSER HUSTLER,NORMAN CURRIER,2005-05-29 00:27:10.000,2005-05-30 02:29:10.000,28.99,Mike,MikeHillyer,Cianjur,Indonesia,1,Above Avg,Other
GREASE YOUTH,0.99,GREASE YOUTH,JO FOWLER,2005-05-29 00:32:09.000,2005-05-31 23:53:09.000,20.99,Mike,MikeHillyer,Oyo,Nigeria,1,Below Avg,Other
TOURIST PELICAN,4.99,TOURIST PELICAN,LAUREN HUDSON,2005-05-29 00:45:24.000,2005-06-02 01:30:24.000,18.99,Mike,MikeHillyer,Le Mans,France,1,Above Avg,Other
CLUELESS BUCKET,3.99,CLUELESS BUCKET,JOHNNIE CHISHOLM,2005-05-29 00:46:53.000,2005-06-03 23:48:53.000,13.99,Jon,JonStephens,Plock,Poland,2,Below Avg,Other
MINE TITANS,9.99,MINE TITANS,ANNE POWELL,2005-05-29 00:54:53.000,2005-06-06 00:45:53.000,12.99,Mike,MikeHillyer,Bradford,United Kingdom,1,Above Avg,Other
TELEGRAPH VOYAGE,10.99,TELEGRAPH VOYAGE,DON BONE,2005-05-29 01:01:26.000,2005-06-07 06:21:26.000,20.99,Mike,MikeHillyer,Naala-Porto,Mozambique,1,Above Avg,Other
CONFIDENTIAL INTERVIEW,4.99,CONFIDENTIAL INTERVIEW,CAROL GARCIA,2005-05-29 01:32:10.000,2005-06-02 03:54:10.000,13.99,Jon,JonStephens,Kaduna,Nigeria,2,Above Avg,Other
CHARIOTS CONSPIRACY,2.99,CHARIOTS CONSPIRACY,YOLANDA WEAVER,2005-05-29 01:42:31.000,2005-06-03 02:29:31.000,29.99,Jon,JonStephens,Tabora,Tanzania,2,Below Avg,Other
CAUSE DATE,6.99,CAUSE DATE,DANNY ISOM,2005-05-29 01:49:43.000,2005-06-05 06:52:43.000,16.99,Mike,MikeHillyer,Okara,Pakistan,1,Above Avg,Other
VACATION BOONDOCK,3.99,VACATION BOONDOCK,CLAUDE HERZOG,2005-05-29 01:50:53.000,2005-06-03 02:28:53.000,23.99,Mike,MikeHillyer,Benguela,Angola,1,Below Avg,Other
IDOLS SNATCHERS,2.99,IDOLS SNATCHERS,RUTH MARTINEZ,2005-05-29 01:59:10.000,2005-06-01 02:45:10.000,29.99,Mike,MikeHillyer,Kimberley,South Africa,1,Below Avg,Other
SUIT WALLS,7.99,SUIT WALLS,JESSE SCHILLING,2005-05-29 02:04:04.000,2005-06-04 00:47:04.000,12.99,Jon,JonStephens,Lubumbashi,"Congo, The Democratic Republic of the",2,Above Avg,Other
FEUD FROGMEN,0.99,FEUD FROGMEN,EDNA WEST,2005-05-29 02:10:52.000,2005-06-01 21:52:52.000,29.99,Mike,MikeHillyer,Klerksdorp,South Africa,1,Below Avg,Other
ANNIE IDENTITY,3.99,ANNIE IDENTITY,MARIAN MENDOZA,2005-05-29 02:11:44.000,2005-06-04 20:23:44.000,15.99,Jon,JonStephens,Maring,Brazil,2,Below Avg,Other
CADDYSHACK JEDI,0.99,CADDYSHACK JEDI,EDITH MCDONALD,2005-05-29 02:18:54.000,2005-05-30 05:54:54.000,17.99,Mike,MikeHillyer,Gandhinagar,India,1,Below Avg,Other
BLOOD ARGONAUTS,2.99,BLOOD ARGONAUTS,ROSA REYNOLDS,2005-05-29 02:26:27.000,2005-06-03 04:59:27.000,13.99,Mike,MikeHillyer,Lancaster,United States,1,Below Avg,USA
MARS ROMAN,0.99,MARS ROMAN,PEDRO CHESTNUT,2005-05-29 02:27:30.000,2005-05-30 01:52:30.000,21.99,Jon,JonStephens,ostka,Ukraine,2,Below Avg,Other
DRACULA CRYSTAL,0.99,DRACULA CRYSTAL,CASSANDRA WALTERS,2005-05-29 02:29:36.000,2005-06-03 04:54:36.000,26.99,Jon,JonStephens,Salinas,United States,2,Below Avg,USA
MIGHTY LUCK,3.99,MIGHTY LUCK,SCOTT SHELLEY,2005-05-29 02:44:43.000,2005-06-06 01:51:43.000,13.99,Jon,JonStephens,Aurora,United States,2,Below Avg,USA
NATIONAL STORY,2.99,NATIONAL STORY,MARSHA DOUGLAS,2005-05-29 02:48:52.000,2005-05-30 06:21:52.000,19.99,Mike,MikeHillyer,Beira,Mozambique,1,Below Avg,Other
KANE EXORCIST,1.99,KANE EXORCIST,MILDRED BAILEY,2005-05-29 03:05:49.000,2005-06-04 22:48:49.000,18.99,Mike,MikeHillyer,Jaipur,India,1,Below Avg,Other
CONQUERER NUTS,4.99,CONQUERER NUTS,MATTIE HOFFMAN,2005-05-29 03:18:19.000,2005-05-30 02:45:19.000,14.99,Mike,MikeHillyer,London,United Kingdom,1,Above Avg,Other
POLISH BROOKLYN,0.99,POLISH BROOKLYN,ELAINE STEVENS,2005-05-29 03:23:47.000,2005-05-31 21:27:47.000,12.99,Jon,JonStephens,Smolensk,Russian Federation,2,Below Avg,Other
LOVER TRUMAN,7.99,LOVER TRUMAN,ZACHARY HITE,2005-05-29 03:48:01.000,2005-06-06 05:21:01.000,29.99,Mike,MikeHillyer,Akron,United States,1,Above Avg,USA
ATLANTIS CAUSE,2.99,ATLANTIS CAUSE,GABRIEL HARDER,2005-05-29 03:48:36.000,2005-06-03 05:03:36.000,15.99,Mike,MikeHillyer,Sivas,Turkey,1,Below Avg,Other
ZORRO ARK,4.99,ZORRO ARK,JESSIE BANKS,2005-05-29 03:49:03.000,2005-05-31 08:29:03.000,18.99,Jon,JonStephens,Stara Zagora,Bulgaria,2,Above Avg,Other
TROJAN TOMORROW,2.99,TROJAN TOMORROW,DONALD MAHON,2005-05-29 04:02:24.000,2005-05-30 03:09:24.000,9.99,Jon,JonStephens,Ezhou,China,2,Below Avg,Other
SINNERS ATLANTIS,4.99,SINNERS ATLANTIS,EDGAR RHOADS,2005-05-29 04:10:17.000,2005-06-07 07:13:17.000,19.99,Mike,MikeHillyer,Eskisehir,Turkey,1,Above Avg,Other
HOUSE DYNAMITE,2.99,HOUSE DYNAMITE,TOM MILNER,2005-05-29 04:15:21.000,2005-06-01 23:05:21.000,13.99,Jon,JonStephens,Abu Dhabi,United Arab Emirates,2,Below Avg,Other
HUNTING MUSKETEERS,3.99,HUNTING MUSKETEERS,JULIO NOLAND,2005-05-29 04:22:41.000,2005-06-05 09:28:41.000,24.99,Mike,MikeHillyer,Konotop,Ukraine,1,Below Avg,Other
ALONE TRIP,0.99,ALONE TRIP,KATHLEEN ADAMS,2005-05-29 04:35:29.000,2005-06-01 07:42:29.000,14.99,Jon,JonStephens,Arak,Iran,2,Below Avg,Other
FANTASY TROOPERS,0.99,FANTASY TROOPERS,ALLEN BUTTERFIELD,2005-05-29 04:37:44.000,2005-05-30 05:48:44.000,27.99,Jon,JonStephens,Hoshiarpur,India,2,Below Avg,Other
GREATEST NORTH,2.99,GREATEST NORTH,GENE SANBORN,2005-05-29 04:52:23.000,2005-06-02 02:27:23.000,24.99,Mike,MikeHillyer,Salala,Oman,1,Below Avg,Other
BEAR GRACELAND,2.99,BEAR GRACELAND,COURTNEY DAY,2005-05-29 05:16:05.000,2005-06-01 07:53:05.000,20.99,Jon,JonStephens,Uijongbu,South Korea,2,Below Avg,Other
SLEEPY JAPANESE,6.99,SLEEPY JAPANESE,COREY HAUSER,2005-05-29 05:17:30.000,2005-06-06 02:47:30.000,25.99,Jon,JonStephens,Gaziantep,Turkey,2,Above Avg,Other
DOWNHILL ENOUGH,0.99,DOWNHILL ENOUGH,MARIE TURNER,2005-05-29 05:28:47.000,2005-05-31 11:24:47.000,19.99,Mike,MikeHillyer,Lipetsk,Russian Federation,1,Below Avg,Other
WORST BANGER,6.99,WORST BANGER,LENA JENSEN,2005-05-29 05:30:31.000,2005-06-06 04:51:31.000,26.99,Mike,MikeHillyer,Halisahar,India,1,Above Avg,Other
ROXANNE REBEL,0.99,ROXANNE REBEL,CHRISTOPHER GRECO,2005-05-29 05:34:44.000,2005-05-30 05:50:44.000,9.99,Mike,MikeHillyer,Brescia,Italy,1,Below Avg,Other
SPEAKEASY DATE,3.99,SPEAKEASY DATE,JEFFERY PINSON,2005-05-29 05:53:23.000,2005-06-05 04:01:23.000,22.99,Jon,JonStephens,Dadu,Pakistan,2,Below Avg,Other
TIMBERLAND SKY,2.99,TIMBERLAND SKY,COURTNEY DAY,2005-05-29 06:03:41.000,2005-06-03 08:52:41.000,13.99,Jon,JonStephens,Uijongbu,South Korea,2,Below Avg,Other
DANCING FEVER,1.99,DANCING FEVER,TOM MILNER,2005-05-29 06:05:29.000,2005-06-05 04:40:29.000,25.99,Jon,JonStephens,Abu Dhabi,United Arab Emirates,2,Below Avg,Other
GIANT TROOPERS,2.99,GIANT TROOPERS,ROBERTO VU,2005-05-29 06:08:15.000,2005-05-30 07:16:15.000,10.99,Mike,MikeHillyer,Yinchuan,China,1,Below Avg,Other
BARBARELLA STREETCAR,2.99,BARBARELLA STREETCAR,CLAYTON BARBEE,2005-05-29 06:12:38.000,2005-06-03 07:41:38.000,27.99,Mike,MikeHillyer,Alvorada,Brazil,1,Below Avg,Other
GONE TROUBLE,2.99,GONE TROUBLE,MATTHEW MAHAN,2005-05-29 06:35:13.000,2005-06-04 03:23:13.000,20.99,Jon,JonStephens,Cuautla,Mexico,2,Below Avg,Other
SANTA PARIS,3.99,SANTA PARIS,SUE PETERS,2005-05-29 07:00:59.000,2005-06-06 01:17:59.000,23.99,Mike,MikeHillyer,Changzhou,China,1,Below Avg,Other
TOOTSIE PILOT,0.99,TOOTSIE PILOT,ELIZABETH BROWN,2005-05-29 07:25:16.000,2005-05-30 05:21:16.000,10.99,Mike,MikeHillyer,Nantou,Taiwan,1,Below Avg,Other
MALLRATS UNITED,0.99,MALLRATS UNITED,CLIFFORD BOWENS,2005-05-29 07:32:51.000,2005-05-30 10:08:51.000,25.99,Jon,JonStephens,Nabereznyje Telny,Russian Federation,2,Below Avg,Other
OUTFIELD MASSACRE,3.99,OUTFIELD MASSACRE,ROY WHITING,2005-05-29 07:35:21.000,2005-06-05 09:14:21.000,18.99,Mike,MikeHillyer,Nyeri,Kenya,1,Below Avg,Other
PICKUP DRIVING,4.99,PICKUP DRIVING,TED BREAUX,2005-05-29 07:38:52.000,2005-06-03 10:17:52.000,23.99,Jon,JonStephens,Baicheng,China,2,Above Avg,Other
RULES HUMAN,7.99,RULES HUMAN,ALEX GRESHAM,2005-05-29 08:08:13.000,2005-06-07 13:35:13.000,19.99,Mike,MikeHillyer,Uruapan,Mexico,1,Above Avg,Other
SLEUTH ORIENT,3.99,SLEUTH ORIENT,BRANDY GRAVES,2005-05-29 08:10:07.000,2005-06-05 10:21:07.000,25.99,Jon,JonStephens,Warren,United States,2,Below Avg,USA
COMA HEAD,4.99,COMA HEAD,TRACY HERRMANN,2005-05-29 08:11:31.000,2005-06-04 11:18:31.000,10.99,Jon,JonStephens,Loja,Ecuador,2,Above Avg,Other
KARATE MOON,4.99,KARATE MOON,MABEL HOLLAND,2005-05-29 08:20:08.000,2005-06-06 08:59:08.000,21.99,Jon,JonStephens,Monywa,Myanmar,2,Above Avg,Other
DURHAM PANKY,6.99,DURHAM PANKY,SARA PERRY,2005-05-29 08:28:18.000,2005-06-06 09:21:18.000,14.99,Jon,JonStephens,Atlixco,Mexico,2,Above Avg,Other
CENTER DINOSAUR,5.99,CENTER DINOSAUR,JULIA FLORES,2005-05-29 08:30:36.000,2005-06-04 12:47:36.000,12.99,Jon,JonStephens,La Plata,Argentina,2,Above Avg,Other
PRIX UNDEFEATED,4.99,PRIX UNDEFEATED,CHARLIE BESS,2005-05-29 08:35:49.000,2005-06-04 11:55:49.000,13.99,Mike,MikeHillyer,Baiyin,China,1,Above Avg,Other
BEAUTY GREASE,6.99,BEAUTY GREASE,VERNON CHAPA,2005-05-29 08:36:30.000,2005-06-05 11:30:30.000,28.99,Mike,MikeHillyer,Denizli,Turkey,1,Above Avg,Other
MALLRATS UNITED,4.99,MALLRATS UNITED,ALLAN CORNISH,2005-05-29 08:39:02.000,2005-06-06 08:42:02.000,25.99,Jon,JonStephens,Tarlac,Philippines,2,Above Avg,Other
SNATCH SLIPPER,4.99,SNATCH SLIPPER,JACOB LANCE,2005-05-29 09:13:08.000,2005-06-01 07:05:08.000,15.99,Jon,JonStephens,El Monte,United States,2,Above Avg,USA
CAT CONEHEADS,4.99,CAT CONEHEADS,ALICIA MILLS,2005-05-29 09:22:57.000,2005-06-01 09:10:57.000,14.99,Mike,MikeHillyer,Nagaon,India,1,Above Avg,Other
VACATION BOONDOCK,2.99,VACATION BOONDOCK,CHARLOTTE HUNTER,2005-05-29 09:25:10.000,2005-06-02 04:20:10.000,23.99,Jon,JonStephens,guas Lindas de Gois,Brazil,2,Below Avg,Other
HORROR REIGN,4.99,HORROR REIGN,TONI HOLT,2005-05-29 09:26:34.000,2005-06-05 07:28:34.000,25.99,Mike,MikeHillyer,Roanoke,United States,1,Above Avg,USA
NASH CHOCOLAT,2.99,NASH CHOCOLAT,MARIA MILLER,2005-05-29 09:27:00.000,2005-06-03 04:25:00.000,21.99,Mike,MikeHillyer,Kragujevac,Yugoslavia,1,Below Avg,Other
DRIFTER COMMANDMENTS,4.99,DRIFTER COMMANDMENTS,AARON SELBY,2005-05-29 09:33:33.000,2005-05-31 11:45:33.000,18.99,Jon,JonStephens,Mwene-Ditu,"Congo, The Democratic Republic of the",2,Above Avg,Other
CLOSER BANG,4.99,CLOSER BANG,CASSANDRA WALTERS,2005-05-29 09:41:40.000,2005-05-30 13:31:40.000,12.99,Mike,MikeHillyer,Salinas,United States,1,Above Avg,USA
MOON BUNCH,0.99,MOON BUNCH,HEATHER MORRIS,2005-05-29 09:55:43.000,2005-06-02 04:54:43.000,20.99,Mike,MikeHillyer,Nagareyama,Japan,1,Below Avg,Other
GRAIL FRANKENSTEIN,4.99,GRAIL FRANKENSTEIN,ELLEN SIMPSON,2005-05-29 10:14:15.000,2005-06-04 06:30:15.000,17.99,Mike,MikeHillyer,Po,Brazil,1,Above Avg,Other
DETECTIVE VISION,3.99,DETECTIVE VISION,JUANITA MASON,2005-05-29 10:16:42.000,2005-06-05 08:52:42.000,16.99,Jon,JonStephens,Pune,India,2,Below Avg,Other
CLUB GRAFFITI,2.99,CLUB GRAFFITI,LEONA OBRIEN,2005-05-29 10:18:59.000,2005-06-04 05:03:59.000,12.99,Jon,JonStephens,Fuzhou,China,2,Below Avg,Other
PILOT HOOSIERS,2.99,PILOT HOOSIERS,MORRIS MCCARTER,2005-05-29 10:26:29.000,2005-06-01 10:25:29.000,17.99,Jon,JonStephens,Fengshan,Taiwan,2,Below Avg,Other
POTLUCK MIXED,5.99,POTLUCK MIXED,VICKI FIELDS,2005-05-29 10:28:45.000,2005-06-04 12:50:45.000,10.99,Mike,MikeHillyer,Witten,Germany,1,Above Avg,Other
DOCTOR GRAIL,7.99,DOCTOR GRAIL,RICKY SHELBY,2005-05-29 10:29:47.000,2005-06-07 15:27:47.000,29.99,Mike,MikeHillyer,Junan,China,1,Above Avg,Other
DYING MAKER,4.99,DYING MAKER,KEN PREWITT,2005-05-29 10:31:56.000,2005-06-01 14:53:56.000,28.99,Jon,JonStephens,Bucuresti,Romania,2,Above Avg,Other
LEGALLY SECRETARY,6.99,LEGALLY SECRETARY,DANA HART,2005-05-29 10:57:57.000,2005-06-07 16:23:57.000,14.99,Jon,JonStephens,Kirovo-Tepetsk,Russian Federation,2,Above Avg,Other
RANGE MOONWALKER,5.99,RANGE MOONWALKER,JANE BENNETT,2005-05-29 11:07:25.000,2005-06-02 14:16:25.000,25.99,Mike,MikeHillyer,Araatuba,Brazil,1,Above Avg,Other
LANGUAGE COWBOY,0.99,LANGUAGE COWBOY,JEAN BELL,2005-05-29 11:09:01.000,2005-06-03 16:18:01.000,26.99,Jon,JonStephens,Kuching,Malaysia,2,Below Avg,Other
SLEEPLESS MONSOON,7.99,SLEEPLESS MONSOON,JAMIE RICE,2005-05-29 11:15:51.000,2005-06-06 07:48:51.000,12.99,Mike,MikeHillyer,Sterling Heights,United States,1,Above Avg,USA
HUNCHBACK IMPOSSIBLE,4.99,HUNCHBACK IMPOSSIBLE,DIANE COLLINS,2005-05-29 11:32:15.000,2005-05-31 17:31:15.000,28.99,Mike,MikeHillyer,Omdurman,Sudan,1,Above Avg,Other
DOGMA FAMILY,4.99,DOGMA FAMILY,VALERIE BLACK,2005-05-29 11:37:35.000,2005-05-31 16:47:35.000,16.99,Mike,MikeHillyer,Brockton,United States,1,Above Avg,USA
CAMELOT VACATION,1.99,CAMELOT VACATION,JUDY GRAY,2005-05-29 11:38:34.000,2005-06-02 17:04:34.000,26.99,Mike,MikeHillyer,Bchar,Algeria,1,Below Avg,Other
INTERVIEW LIAISONS,8.99,INTERVIEW LIAISONS,MARTIN BALES,2005-05-29 11:47:02.000,2005-06-06 07:14:02.000,17.99,Mike,MikeHillyer,Namibe,Angola,1,Above Avg,Other
CIDER DESIRE,2.99,CIDER DESIRE,KELLY TORRES,2005-05-29 12:20:19.000,2005-06-02 14:15:19.000,9.99,Jon,JonStephens,Xiangtan,China,2,Below Avg,Other
OLEANDER CLUE,4.99,OLEANDER CLUE,CASEY MENA,2005-05-29 12:30:46.000,2005-06-07 09:00:46.000,12.99,Jon,JonStephens,Tokat,Turkey,2,Above Avg,Other
FREAKY POCUS,2.99,FREAKY POCUS,ISAAC OGLESBY,2005-05-29 12:51:44.000,2005-06-01 17:43:44.000,16.99,Mike,MikeHillyer,Cuernavaca,Mexico,1,Below Avg,Other
MADRE GABLES,4.99,MADRE GABLES,LEONARD SCHOFIELD,2005-05-29 12:56:50.000,2005-06-07 15:54:50.000,27.99,Jon,JonStephens,Tandil,Argentina,2,Above Avg,Other
BLACKOUT PRIVATE,2.99,BLACKOUT PRIVATE,DERRICK BOURQUE,2005-05-29 12:59:14.000,2005-06-01 16:05:14.000,12.99,Jon,JonStephens,Gatineau,Canada,2,Below Avg,Other
RIDGEMONT SUBMARINE,5.99,RIDGEMONT SUBMARINE,ARMANDO GRUBER,2005-05-29 13:08:06.000,2005-06-06 08:19:06.000,28.99,Mike,MikeHillyer,Southport,United Kingdom,1,Above Avg,Other
BARBARELLA STREETCAR,5.99,BARBARELLA STREETCAR,KEN PREWITT,2005-05-29 13:18:05.000,2005-06-07 17:22:05.000,27.99,Mike,MikeHillyer,Bucuresti,Romania,1,Above Avg,Other
DYING MAKER,4.99,DYING MAKER,ISAAC OGLESBY,2005-05-29 13:19:43.000,2005-06-01 18:51:43.000,28.99,Mike,MikeHillyer,Cuernavaca,Mexico,1,Above Avg,Other
DYNAMITE TARZAN,0.99,DYNAMITE TARZAN,SHEILA WELLS,2005-05-29 13:23:26.000,2005-05-30 07:53:26.000,27.99,Jon,JonStephens,Ktahya,Turkey,2,Below Avg,Other
VIRGINIAN PLUTO,0.99,VIRGINIAN PLUTO,CINDY FISHER,2005-05-29 13:35:35.000,2005-06-03 17:33:35.000,22.99,Mike,MikeHillyer,Cuman,Venezuela,1,Below Avg,Other
BROOKLYN DESERT,4.99,BROOKLYN DESERT,RALPH MADRIGAL,2005-05-29 14:07:58.000,2005-06-03 08:41:58.000,21.99,Jon,JonStephens,Arecibo,Puerto Rico,2,Above Avg,Other
HANDICAP BOONDOCK,3.99,HANDICAP BOONDOCK,JAVIER ELROD,2005-05-29 14:09:53.000,2005-06-05 20:05:53.000,28.99,Mike,MikeHillyer,NDjamna,Chad,1,Below Avg,Other
CANDLES GRAPES,6.99,CANDLES GRAPES,DAWN SULLIVAN,2005-05-29 14:17:17.000,2005-06-06 16:46:17.000,15.99,Mike,MikeHillyer,Funafuti,Tuvalu,1,Above Avg,Other
HILLS NEIGHBORS,3.99,HILLS NEIGHBORS,JOHN FARNSWORTH,2005-05-29 14:18:32.000,2005-06-06 20:14:32.000,29.99,Mike,MikeHillyer,Parbhani,India,1,Below Avg,Other
ALTER VICTORY,0.99,ALTER VICTORY,DONALD MAHON,2005-05-29 14:23:58.000,2005-05-30 17:44:58.000,27.99,Mike,MikeHillyer,Ezhou,China,1,Below Avg,Other
JOON NORTHWEST,1.99,JOON NORTHWEST,ENRIQUE FORSYTHE,2005-05-29 14:38:57.000,2005-06-02 13:18:57.000,23.99,Jon,JonStephens,Patras,Greece,2,Below Avg,Other
PEAK FOREVER,5.99,PEAK FOREVER,HEATHER MORRIS,2005-05-29 14:41:18.000,2005-06-06 10:39:18.000,25.99,Jon,JonStephens,Nagareyama,Japan,2,Above Avg,Other
OTHERS SOUP,2.99,OTHERS SOUP,ALBERT CROUSE,2005-05-29 14:44:22.000,2005-06-01 17:28:22.000,18.99,Jon,JonStephens,Bamenda,Cameroon,2,Below Avg,Other
AIRPORT POLLOCK,4.99,AIRPORT POLLOCK,THERESA WATSON,2005-05-29 15:08:41.000,2005-05-30 15:51:41.000,15.99,Mike,MikeHillyer,Taguig,Philippines,1,Above Avg,Other
MILLION ACE,9.99,MILLION ACE,ALEXANDER FENNELL,2005-05-29 15:17:28.000,2005-06-07 10:07:28.000,16.99,Jon,JonStephens,Bergamo,Italy,2,Above Avg,Other
STREAK RIDGEMONT,2.99,STREAK RIDGEMONT,SHIRLEY ALLEN,2005-05-29 16:03:03.000,2005-06-07 11:07:03.000,28.99,Jon,JonStephens,Davao,Philippines,2,Below Avg,Other
COLOR PHILADELPHIA,2.99,COLOR PHILADELPHIA,WALLACE SLONE,2005-05-29 16:13:55.000,2005-05-31 16:40:55.000,19.99,Mike,MikeHillyer,Sokoto,Nigeria,1,Below Avg,Other
CLASH FREDDY,4.99,CLASH FREDDY,MAX PITT,2005-05-29 16:17:07.000,2005-06-06 18:15:07.000,12.99,Mike,MikeHillyer,Novi Sad,Yugoslavia,1,Above Avg,Other
NOON PAPI,2.99,NOON PAPI,RENE MCALISTER,2005-05-29 16:19:29.000,2005-06-02 17:22:29.000,12.99,Jon,JonStephens,Garden Grove,United States,2,Below Avg,USA
FROST HEAD,0.99,FROST HEAD,SONIA GREGORY,2005-05-29 16:30:42.000,2005-06-01 19:11:42.000,13.99,Mike,MikeHillyer,Benin City,Nigeria,1,Below Avg,Other
NEWTON LABYRINTH,0.99,NEWTON LABYRINTH,DEANNA BYRD,2005-05-29 16:32:10.000,2005-05-31 18:01:10.000,9.99,Mike,MikeHillyer,Tuguegarao,Philippines,1,Below Avg,Other
BOILED DARES,5.99,BOILED DARES,CLAUDE HERZOG,2005-05-29 16:44:08.000,2005-06-06 19:21:08.000,13.99,Jon,JonStephens,Benguela,Angola,2,Above Avg,Other
HORROR REIGN,4.99,HORROR REIGN,DIANE COLLINS,2005-05-29 16:44:11.000,2005-06-05 16:11:11.000,25.99,Mike,MikeHillyer,Omdurman,Sudan,1,Above Avg,Other
CHAINSAW UPTOWN,0.99,CHAINSAW UPTOWN,CLAYTON BARBEE,2005-05-29 16:57:39.000,2005-06-01 11:33:39.000,25.99,Jon,JonStephens,Alvorada,Brazil,2,Below Avg,Other
MONSTER SPARTACUS,2.99,MONSTER SPARTACUS,JESSICA HALL,2005-05-29 16:59:44.000,2005-06-03 16:22:44.000,28.99,Jon,JonStephens,Citt del Vaticano,Holy See (Vatican City State),2,Below Avg,Other
FIREBALL PHILADELPHIA,1.99,FIREBALL PHILADELPHIA,VIOLA HANSON,2005-05-29 17:12:17.000,2005-06-03 16:06:17.000,25.99,Mike,MikeHillyer,Lapu-Lapu,Philippines,1,Below Avg,Other
